ZONAS,UF: PARANÁ,IBGE,RESULTADO,CANDIDATO,VOTOS,LATITUDE SUL,LONGITUDE W-GR,LATITUDE_DECIMAL,LONGITUDE_DECIMAL
33,Uniao Da Vitoria,4128203,3000,BENTO MUNHOZ DA ROCHA NETO,1263,26 º 13 ' 48 '' S,51 º 05 ' 11 '' W,-26.229999999999997,-51.08638888888889
34,Irati,4110706,2754,BENTO MUNHOZ DA ROCHA NETO,956,25 º 28 ' 02 '' S,50 º 39 ' 04 '' W,-25.46722222222222,-50.651111111111106
34,Reboucas,4121505,1116,BENTO MUNHOZ DA ROCHA NETO,379,25 º 37 ' 14 '' S,50 º 41 ' 34 '' W,-25.620555555555555,-50.69277777777778
34,Rio Azul,4122008,1168,BENTO MUNHOZ DA ROCHA NETO,294,25 º 43 ' 58 '' S,50 º 47 ' 47 '' W,-25.732777777777777,-50.796388888888885
35,Assai,4101903,1300,BENTO MUNHOZ DA ROCHA NETO,487,23 º 22 ' 24 '' S,50 º 50 ' 29 '' W,-23.373333333333335,-50.84138888888889
35,Congonhinhas,4106001,699,BENTO MUNHOZ DA ROCHA NETO,99,23 º 33 ' 04 '' S,50 º 33 ' 13 '' W,-23.551111111111112,-50.55361111111111
35,Sao Jeronimo Da Serra,4124707,280,BENTO MUNHOZ DA ROCHA NETO,17,23 º 43 ' 39 '' S,50 º 44 ' 28 '' W,-23.7275,-50.74111111111111
36,Ipiranga,4110508,1649,BENTO MUNHOZ DA ROCHA NETO,356,25 º 01 ' 26 '' S,50 º 35 ' 03 '' W,-25.023888888888887,-50.58416666666667
37,Malle,4113908,1944,BENTO MUNHOZ DA ROCHA NETO,612,25 º 52 ' 40 '' S,50 º 49 ' 16 '' W,-25.87777777777778,-50.821111111111115
38,Pitanga,4119608,1313,BENTO MUNHOZ DA ROCHA NETO,596,24 º 45 ' 26 '' S,51 º 45 ' 41 '' W,-24.75722222222222,-51.76138888888889
39,Reserva,4121703,1445,BENTO MUNHOZ DA ROCHA NETO,120,24 º 39 ' 01 '' S,50 º 51 ' 02 '' W,-24.650277777777777,-50.85055555555556
40,Sertanopolis,4126504,1390,BENTO MUNHOZ DA ROCHA NETO,324,23 º 03 ' 31 '' S,51 º 02 ' 11 '' W,-23.058611111111112,-51.03638888888889
40,Ibipora,4109807,558,BENTO MUNHOZ DA ROCHA NETO,174,23 º 16 ' 09 '' S,51 º 02 ' 53 '' W,-23.269166666666667,-51.04805555555556
40,Porecatu,4120002,321,BENTO MUNHOZ DA ROCHA NETO,59,22 º 45 ' 21 '' S,51 º 22 ' 45 '' W,-22.75583333333333,-51.37916666666667
40,Bela Vista Do Paraiso,4102802,267,BENTO MUNHOZ DA ROCHA NETO,71,22 º 59 ' 48 '' S,51 º 11 ' 26 '' W,-22.996666666666666,-51.190555555555555
40,Jaguapita,4111902,342,BENTO MUNHOZ DA ROCHA NETO,107,23 º 06 ' 46 '' S,51 º 31 ' 55 '' W,-23.11277777777778,-51.53194444444444
41,Laranjeiras Do Sul,4113304,1245,BENTO MUNHOZ DA ROCHA NETO,4,25 º 24 ' 28 '' S,52 º 24 ' 58 '' W,-25.407777777777778,-52.41611111111111
42,Foz Do Iguacu,4108304,556,BENTO MUNHOZ DA ROCHA NETO,36,25 º 32 ' 52 '' S,54 º 35 ' 17 '' W,-25.547777777777778,-54.588055555555556
43,Clevelandia,4105706,1469,BENTO MUNHOZ DA ROCHA NETO,230,26 º 23 ' 45 '' S,52 º 28 ' 15 '' W,-26.395833333333332,-52.47083333333334
